API,FBRef
Gabriel Fernando de Jesus,Gabriel Jesus
Gabriel dos Santos Magalhães,Gabriel Magalhães
Kai Havertz,Kai Havertz
Martin Ødegaard,Martin Ødegaard
Bukayo Saka,Bukayo Saka
Jurriën Timber,Jurriën Timber
Jorge Luiz Frello Filho,Jorge Luiz Frello Filho
Gabriel Martinelli Silva,Gabriel Martinelli
Reiss Nelson,Reiss Nelson
Eddie Nketiah,Eddie Nketiah
Ethan Nwaneri,Ethan Nwaneri
Aaron Ramsdale,Aaron Ramsdale
David Raya Martin,David Raya
Declan Rice,Declan Rice
William Saliba,William Saliba
Emile Smith Rowe,Emile Smith Rowe
Thomas Partey,Thomas Partey
Leandro Trossard,Leandro Trossard
Benjamin White,Ben White
Oleksandr Zinchenko,Oleksandr Zinchenko
Cameron Archer,Cameron Archer
Leon Bailey,Leon Bailey
Ross Barkley,Ross Barkley
Emiliano Buendía Stati,Emi Buendía
Matty Cash,Matty Cash
Diego Carlos Santos Silva,Diego Carlos
Lucas Digne,Lucas Digne
Jhon Durán,Jhon Durán
Joe Gauci,Joe Gauci
Ezri Konsa Ngoyo,Ezri Konsa
Ian Maatsen,Ian Maatsen
Emiliano Martínez Romero,Emiliano Martínez
John McGinn,John McGinn
Kosta Nedeljković,Kosta Nedeljković
Pau Torres,Pau Torres
Jacob Ramsey,Jacob Ramsey
Morgan Rogers,Morgan Rogers
Youri Tielemans,Youri Tielemans
Ollie Watkins,Ollie Watkins
Jaidon Anthony,Jaidon Anthony
Ryan Christie,Ryan Christie
Lewis Cook,Lewis Cook
James Hill,James Hill
Daniel Jebbison,Daniel Jebbison
Milos Kerkez,Milos Kerkez
Justin Kluivert,Justin Kluivert
Norberto Murara Neto,Norberto Neto
Dango Ouattara,Dango Ouattara
Philip Billing,Philip Billing
Alex Scott,Alex Scott
Antoine Semenyo,Antoine Semenyo
Luis Sinisterra,Luis Sinisterra
Adam Smith,Adam Smith
Dominic Solanke-Mitchell,Dominic Solanke
Marcus Tavernier,Marcus Tavernier
Mark Travers,Mark Travers
Illia Zabarnyi,Illia Zabarnyi
Kristoffer Ajer,Kristoffer Ajer
Nathan Collins,Nathan Collins
Mikkel Damsgaard,Mikkel Damsgaard
Mark Flekken,Mark Flekken
Vitaly Janelt,Vitaly Janelt
Mathias Jensen,Mathias Jensen
Keane Lewis-Potter,Keane Lewis-Potter
Bryan Mbeumo,Bryan Mbeumo
Ivan Toney,Ivan Toney
Ben Mee,Ben Mee
Christian Nørgaard,Christian Nørgaard
Frank Onyeka,Frank Onyeka
Myles Peart-Harris,Myles Peart-Harris
Ethan Pinnock,Ethan Pinnock
Mads Roerslev Rasmussen,Mads Roerslev
Kevin Schade,Kevin Schade
Yoane Wissa,Yoane Wissa
Yehor Yarmoliuk,Yehor Yarmoliuk
Simon Adingra,Simon Adingra
Carlos Baleba,Carlos Baleba
Valentín Barco,Valentín Barco
Facundo Buonanotte,Facundo Buonanotte
Lewis Dunk,Lewis Dunk
Billy Gilmour,Billy Gilmour
Jack Hinshelwood,Jack Hinshelwood
João Pedro Junqueira de Jesus,João Pedro
James Milner,James Milner
Yankuba Minteh,Yankuba Minteh
Mitoma Kaoru,Kaoru Mitoma
Mark O’Mahony,Mark O’Mahony
Jeremy Sarmiento Morante,Jeremy Sarmiento Morante
Jason Steele,Jason Steele
Jan Paul van Hecke,Jan Paul van Hecke
Joël Veltman,Joël Veltman
Adam Webster,Adam Webster
Danny Welbeck,Danny Welbeck
Mats Wieffer,Mats Wieffer
Benoît Badiashile,Benoît Badiashile
Moisés Caicedo Corozo,Moisés Caicedo
Levi Colwill,Levi Colwill
Marc Cucurella Saseta,Marc Cucurella
Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall
Enzo Fernández,Enzo Fernández
Noni Madueke,Noni Madueke
Christopher Nkunku,Christopher Nkunku
Cole Palmer,Cole Palmer
Malo Gusto,Malo Gusto
Roméo Lavia,Roméo Lavia
Marc Guiu Paz,Marc Guiu Paz
Mykhailo Mudryk,Mykhailo Mudryk
Nicolas Jackson,Nicolas Jackson
Renato Palma Veiga,Renato Palma Veiga
Robert Sánchez,Robert Sánchez
Tosin Adarabioyo,Tosin Adarabioyo
Wesley Fofana,Wesley Fofana
Joachim Andersen,Joachim Andersen
Jordan Ayew,Jordan Ayew
Cheick Doucouré,Cheick Doucouré
Chris Richards,Chris Richards
Chadi Riad Dnanou,Chadi Riad Dnanou
Nathaniel Clyne,Nathaniel Clyne
Odsonne Edouard,Odsonne Edouard
Eberechi Eze,Eberechi Eze
Marc Guéhi,Marc Guéhi
Dean Henderson,Dean Henderson
Will Hughes,Will Hughes
Sam Johnstone,Sam Johnstone
Daichi Kamada,Daichi Kamada
Jefferson Lerma Solís,Jefferson Lerma
Jean-Philippe Mateta,Jean-Philippe Mateta
Tyrick Mitchell,Tyrick Mitchell
Daniel Muñoz,Daniel Muñoz
Jeffrey Schlupp,Jeffrey Schlupp
Adam Wharton,Adam Wharton
Abdoulaye Doucouré,Abdoulaye Doucouré
Norberto Bercique Gomes Betuncal,Norberto Bercique Gomes Betuncal
Dominic Calvert-Lewin,Dominic Calvert-Lewin
Jack Harrison,Jack Harrison
Mason Holgate,Mason Holgate
Tim Iroegbunam,Tim Iroegbunam
João Neves Virgínia,João Neves Virgínia
Michael Keane,Michael Keane
Neal Maupay,Neal Maupay
Dwight McNeil,Dwight McNeil
Iliman Ndiaye,Iliman Ndiaye
Amadou Onana,Amadou Onana
Jordan Pickford,Jordan Pickford
James Tarkowski,James Tarkowski
Ashley Young,Ashley Young
Adama Traoré,Adama Traoré
Andreas Hoelgebaum Pereira,Andreas Hoelgebaum Pereira
Calvin Bassey,Calvin Bassey
Steven Benda,Steven Benda
Tom Cairney,Tom Cairney
Timothy Castagne,Timothy Castagne
Issa Diop,Issa Diop
Alex Iwobi,Alex Iwobi
Bernd Leno,Bernd Leno
Saša Lukić,Saša Lukić
Rodrigo Muniz Carvalho,Rodrigo Muniz
Raúl Jiménez,Raúl Jiménez
Harrison Reed,Harrison Reed
Antonee Robinson,Antonee Robinson
Jay Stansfield,Jay Stansfield
Kenny Tete,Kenny Tete
Harry Wilson,Harry Wilson
Cameron Burgess,Cameron Burgess
Wes Burns,Wes Burns
Conor Chaplin,Conor Chaplin
Leif Davis,Leif Davis
Liam Delap,Liam Delap
Jacob Greaves,Jacob Greaves
Marcus Myers-Harness,Marcus Myers-Harness
Omari Giraud-Hutchinson,Omari Giraud-Hutchinson
Ben Johnson,Ben Johnson
Massimo Luongo,Massimo Luongo
Sam Morsy,Sam Morsy
Cieran Slicker,Cieran Slicker
Jack Taylor,Jack Taylor
Axel Tuanzebe,Axel Tuanzebe
Christian Walton,Christian Walton
Luke Woolfenden,Luke Woolfenden
Boubakary Soumaré,Boubakary Soumaré
Hamza Choudhury,Hamza Choudhury
Bobby De Cordova-Reid,Bobby De Cordova-Reid
Wout Faes,Wout Faes
Mads Hermansen,Mads Hermansen
James Justin,James Justin
Stephy Mavididi,Stephy Mavididi
Kasey McAteer,Kasey McAteer
Wilfred Ndidi,Wilfred Ndidi
Caleb Okoli,Caleb Okoli
Ricardo Barbosa Pereira,Ricardo Barbosa Pereira
Jamie Vardy,Jamie Vardy
Jannik Vestergaard,Jannik Vestergaard
Danny Ward,Danny Ward
Harry Winks,Harry Winks
Alisson Ramses Becker,Alisson
Trent Alexander-Arnold,Trent Alexander-Arnold
Conor Bradley,Conor Bradley
Fábio Freitas Gouveia Carvalho,Fábio Freitas Gouveia Carvalho
Darwin Núñez Ribeiro,Darwin Núñez
Harvey Elliott,Harvey Elliott
