API,FBRef,elevenify
Arsenal,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa
Bournemouth,Bournemouth,Bournemouth
Brentford,Brentford,Brentford
Brighton,Brighton,Brighton
Burnley,Burnley,Burnley
Chelsea,Chelsea,Chelsea
Crystal Palace,Crystal Palace,Crystal Palace
Everton,Everton,Everton
Fulham,Fulham,Fulham
Ipswich,Ipswich Town,Ipswich
Leeds,Leeds United,Leeds
Leicester,Leicester City,Leicester
Liverpool,Liverpool,Liverpool
Man City,Manchester City,Man City
Man Utd,Manchester Utd,Man Utd
Newcastle,Newcastle Utd,Newcastle
Nott'm Forest,Nott'ham Forest,Nott'm Forest
Southampton,Southampton,Southampton
Spurs,Tottenham,Spurs
Sunderland,Sunderland,Sunderland
West Ham,West Ham,West Ham
Wolves,Wolves,Wolves
